timestamp,operation,source_path,dest_path,size_bytes,sha256,task_id,reason,verified
2026-06-15T09:01:15,delete-to-trash,content.txt,_trash\2026-06-14\content.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,D2-D13_일괄처리,D10 0바이트 빈 파일 트래시 이동,True
2026-06-15T09:01:16,move,기타서류,5.기타\문서\기타서류,,,D2-D13_일괄처리,D12 행정서류 5.기타/문서 집결,
2026-06-15T09:01:16,move,리퀴드텍스트 백업,5.기타\_백업\리퀴드텍스트 백업,,,D2-D13_일괄처리,D12 앱백업 5.기타/_백업 집결,
2026-06-15T09:01:16,move,_종합본,5.기타\책 백업\_종합본,,,D2-D13_일괄처리,D7/D12 합본PDF 5.기타/책 백업 집결,
2026-06-15T09:01:17,rename,대회,7.대회,,,D2-D13_일괄처리,D13 옵션B 번호화,
2026-06-15T09:01:17,rename,찌라시,8.찌라시,,,D2-D13_일괄처리,D13 옵션B 번호화,
2026-06-15T09:01:45,copy,CLAUDE.md,5.기타\_백업\2026-06-14\CLAUDE.md.bak-D10,18330,62c679efc0db9ca6ebfd52e486ecd8f7d754fe043425214dbae7870fe4facd61,D2-D13_백업,D10 룰추가 전 백업,False
2026-06-15T09:01:46,copy,.agent\workflows\classification-rules_v2.md,5.기타\_백업\2026-06-14\classification-rules_v2.md.bak-D13,29690,de64852088dcc6359db984198329cd522526b79327060a27ac95192b0169082d,D2-D13_백업,D13 참조갱신 전 백업,False
2026-06-15T09:01:47,copy,sync\_meta\기록형풀이_스킬_2026-05-05\SKILL.md,5.기타\_백업\2026-06-14\기록형풀이_스킬_SKILL.md.bak-D13,6537,8c6e9e8b39369243404de73a9e7e87c32575ce66fe7fef0b5f8cd1f80a84e6e9,D2-D13_백업,D13 참조갱신 전 백업,False
2026-06-15T09:01:47,copy,sync\_meta\기록형풀이_파일럿_2026형제8765_2026-06-11.md,5.기타\_백업\2026-06-14\기록형풀이_파일럿.bak-D13,11836,13279aa2aa159b4762768c532a4c53105ad4bc39e27cf75239cae610a6b1ac34,D2-D13_백업,D13 참조갱신 전 백업,False
2026-06-15T09:01:48,copy,sync\_meta\기록형풀이_자료보강_2026-06-11.md,5.기타\_백업\2026-06-14\기록형풀이_자료보강.bak-D13,13604,e93ab3e4f1a38a12d6b2bcbb425335ddbc412ef5f714d6c957c5c5df77493e86,D2-D13_백업,D13 참조갱신 전 백업,False
2026-06-15T10:59:07,delete-to-trash,Colab Notebooks\Untitled0.ipynb,_trash\2026-06-15\Untitled0.ipynb,324,d8e86474a50f59502dc521da7752acbeac28015d226d196bf243047b9f6ce050,folder-cleanup-2026-06-15,빈 Colab 스크래치 노트북(셀 내용 없음) 정리,True
